Date,Home,Away,Score,Referee
2025-01-31,Eyüpspor,Sivasspor,1–0,Atilla Karaoğlan
2025-02-01,Hatayspor,Antalyaspor,2–3,Direnç Tonusluoğlu
2025-02-01,Kayserispor,Trabzonspor,0–0,Ali Şansalan
2025-02-01,Başakşehir,Samsunspor,4–0,Çağdaş Altay
2025-02-02,Adana Demirspor,Kasımpaşa,3–5,Yasin Kol
2025-02-02,Göztepe,Alanyaspor,0–1,Arda Kardeşler
2025-02-02,Fenerbahçe,Rizespor,3–2,Burak Pakkan
2025-02-03,Gaziantep FK,Galatasaray,0–1,Kadir Sağlam
2025-02-07,Samsunspor,Hatayspor,2–0,Alper Akarsu
2025-02-08,Kayserispor,Konyaspor,3–2,Çağdaş Altay
2025-02-08,Sivasspor,Beşiktaş,0–2,Ali Şansalan
2025-02-09,Kasımpaşa,Rizespor,3–2,Ozan Ergün
2025-02-09,Alanyaspor,Fenerbahçe,0–2,Cihan Aydın
2025-02-09,Antalyaspor,Başakşehir,0–0,Zorbay Küçük
2025-02-09,Galatasaray,Adana Demirspor,3–0,Oğuzhan Çakir
2025-02-10,Trabzonspor,Eyüpspor,1–0,Mehmet Türkmen
2025-02-10,BB Bodrumspor,Göztepe,0–0,Yasin Kol
2025-02-14,Adana Demirspor,Antalyaspor,1–1,Kadir Sağlam
2025-02-15,Gaziantep FK,Sivasspor,2–1,Ozan Ergün
2025-02-15,Başakşehir,BB Bodrumspor,0–1,Halil Umut Meler
2025-02-15,Beşiktaş,Trabzonspor,2–1,Cihan Aydın
2025-02-16,Hatayspor,Alanyaspor,1–0,Adnan Deniz Kayatepe
2025-02-16,Konyaspor,Samsunspor,0–1,Yasin Kol
2025-02-16,Eyüpspor,Kayserispor,1–1,Direnç Tonusluoğlu
2025-02-16,Fenerbahçe,Kasımpaşa,3–1,Ali Şansalan
2025-02-17,Rizespor,Galatasaray,1–2,Zorbay Küçük
2025-02-21,Eyüpspor,Beşiktaş,1–3,Muhammetali Metoğlu
2025-02-21,BB Bodrumspor,Hatayspor,1–0,Ali Şansalan
2025-02-22,Sivasspor,Konyaspor,1–1,Zorbay Küçük
2025-02-22,Antalyaspor,Kasımpaşa,2–1,Adnan Deniz Kayatepe
2025-02-22,Samsunspor,Rizespor,2–3,Halil Umut Meler
2025-02-23,Kayserispor,Göztepe,1–0,Cihan Aydın
2025-02-23,Alanyaspor,Adana Demirspor,3–2,Ozan Ergün
2025-02-23,Trabzonspor,Gaziantep FK,3–2,Atilla Karaoğlan
2025-02-24,Galatasaray,Fenerbahçe,0–0,Slavko Vinčič
2025-03-01,Adana Demirspor,BB Bodrumspor,0–0,Çağdaş Altay
2025-03-01,Beşiktaş,Kayserispor,2–0,Halil Umut Meler
2025-03-02,Rizespor,Alanyaspor,3–1,Ali Şansalan
2025-03-02,Kasımpaşa,Galatasaray,3–3,Cihan Aydın
2025-03-02,Fenerbahçe,Antalyaspor,3–0,Mehmet Türkmen
2025-03-03,Konyaspor,Trabzonspor,1–0,Ozan Ergün
2025-03-03,Gaziantep FK,Eyüpspor,3–1,Alper Akarsu
2025-03-03,Göztepe,Samsunspor,2–2,Oğuzhan Çakir
2025-03-03,Başakşehir,Sivasspor,1–0,Muhammetali Metoğlu
