STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2018-11,,121.9,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2018-12,,122.1,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2019-01,,121.0,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2019-02,,121.6,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2019-03,,122.2,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2019-04,,123.3,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2019-05,,123.6,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2019-06,,124.0,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2019-07,,124.5,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2019-08,,124.3,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2019-09,,124.3,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2019-10,,124.4,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2019-11,,123.4,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,DE,Germany,2019-12,,124.0,,,,,
