geo,TIME_PERIOD,OBS_VALUE
IT,2021-01,385
IT,2021-02,395
IT,2021-03,480
IT,2021-04,395
IT,2021-05,475
IT,2021-06,450
IT,2021-07,490
IT,2021-08,530
IT,2021-09,1490
IT,2021-10,1430
IT,2021-11,1160
IT,2021-12,855
IT,2022-01,810
IT,2022-02,1020
IT,2022-03,1405
IT,2022-04,1250
IT,2022-05,1490
IT,2022-06,1355
IT,2022-07,1105
IT,2022-08,1235
IT,2022-09,1460
IT,2022-10,1365
IT,2022-11,1555
IT,2022-12,1330
IT,2023-01,1395
IT,2023-02,1545
IT,2023-03,1755
IT,2023-04,1485
IT,2023-05,1875
IT,2023-06,1620
IT,2023-07,1590
IT,2023-08,1435
IT,2023-09,1830
IT,2023-10,2350
IT,2023-11,2275
IT,2023-12,1665
IT,2024-01,2235
IT,2024-02,2155
IT,2024-03,2740
IT,2024-04,2385
IT,2024-05,2800
IT,2024-06,2255
IT,2024-07,2695
IT,2024-08,2035
IT,2024-09,2360
IT,2024-10,2935
IT,2024-11,2615
IT,2024-12,2170
IT,2025-01,2355
IT,2025-02,2270
IT,2025-03,2860
IT,2025-04,1240
IT,2025-05,2375
IT,2025-06,2035
IT,2025-07,2480
IT,2025-08,1855
NL,2015-01,265
NL,2015-02,240
NL,2015-03,275
NL,2015-04,320
NL,2015-05,665
NL,2015-06,850
NL,2015-07,760
NL,2015-08,1215
NL,2015-09,1335
NL,2015-10,2615
NL,2015-11,1875
NL,2015-12,1135
NL,2016-01,860
NL,2016-02,655
NL,2016-03,370
NL,2016-04,370
NL,2016-05,320
NL,2016-06,385
NL,2016-07,580
NL,2016-08,575
NL,2016-09,490
NL,2016-10,460
NL,2016-11,485
NL,2016-12,410
NL,2017-01,370
NL,2017-02,290
NL,2017-03,370
NL,2017-04,320
NL,2017-05,360
NL,2017-06,390
NL,2017-07,450
NL,2017-08,405
NL,2017-09,400
NL,2017-10,360
NL,2017-11,340
NL,2017-12,340
NL,2018-01,415
NL,2018-02,330
NL,2018-03,380
NL,2018-04,420
NL,2018-05,420
NL,2018-06,350
NL,2018-07,540
NL,2018-08,635
NL,2018-09,735
NL,2018-10,685
NL,2018-11,535
NL,2018-12,450
NL,2019-01,525
NL,2019-02,475
NL,2019-03,575
NL,2019-04,520
NL,2019-05,475
NL,2019-06,490
NL,2019-07,550
NL,2019-08,570
NL,2019-09,585
NL,2019-10,605
NL,2019-11,605
NL,2019-12,450
NL,2020-01,465
NL,2020-02,440
NL,2020-03,290
NL,2020-04,70
NL,2020-05,90
NL,2020-06,170
NL,2020-07,275
NL,2020-08,335
NL,2020-09,300
NL,2020-10,230
NL,2020-11,230
NL,2020-12,230
NL,2021-01,175
NL,2021-02,125
NL,2021-03,220
NL,2021-04,225
NL,2021-05,205
NL,2021-06,320
NL,2021-07,530
NL,2021-08,735
NL,2021-09,1135
NL,2021-10,760
NL,2021-11,805
NL,2021-12,545
NL,2022-01,440
NL,2022-02,355
NL,2022-03,760
NL,2022-04,590
NL,2022-05,605
NL,2022-06,565
NL,2022-07,600
NL,2022-08,945
NL,2022-09,900
NL,2022-10,825
NL,2022-11,845
NL,2022-12,575
NL,2023-01,575
NL,2023-02,555
NL,2023-03,545
NL,2023-04,525
NL,2023-05,635
NL,2023-06,740
NL,2023-07,870
NL,2023-08,790
NL,2023-09,790
NL,2023-10,1065
NL,2023-11,970
NL,2023-12,970
NL,2024-01,710
NL,2024-02,705
NL,2024-03,735
NL,2024-04,695
NL,2024-05,670
NL,2024-06,515
NL,2024-07,650
NL,2024-08,670
NL,2024-09,675
NL,2024-10,700
NL,2024-11,620
NL,2024-12,575
NL,2025-01,505
NL,2025-02,480
NL,2025-03,400
NL,2025-04,445
NL,2025-05,495
NL,2025-06,535
NL,2025-07,580
NL,2025-08,510
NL,2025-09,700
NL,2025-10,695
